Species,GeneID,GeneName,Elements,Citation(s) - DOI only,Closest species orthologs,Tissue,Comments
O.sativa,LOC_Os02g51110,LSI1,Se,10.1104/pp.110.157867,,"Roots,shoots",NA
O.sativa,LOC_Os02g53490,MTP8.2,Mn,10.1093/pcp/pcx082,NA,"Shoots,Roots",NA
O.sativa,LOC_Os02g56510,PHO1;2,P,10.1104/pp.109.149872,,Shoots,NA
O.sativa,LOC_Os03g05640,PT2,Se,10.1111/nph.12596,,"Roots,shoots",NA
O.sativa,LOC_Os03g09140,Rab6a,"Fe,Zn",10.1093/pcp/pcw073,,"Seeds,shoot,roots",NA
O.sativa,LOC_Os03g12530,MTP8.1,Mn,10.1093/jxb/ert243,NA,"Shoots,Roots",NA
O.sativa,LOC_Os03g18550,MIT,Fe,10.1038/ncomms1326,NA,Shoots,NA
O.sativa,LOC_Os03g19420,NAS2,Fe,10.1007/s10059-012-2231-3,,Seeds,NA
O.sativa,LOC_Os03g21240,PHR2,P,10.1104/pp.107.111443,,Shoots,NA
O.sativa,LOC_Os04g32920,HAK1,Cs,10.1093/pcp/pcx094,NA,"Shoots, seeds",NA
O.sativa,LOC_Os04g38940,VIT1,"Fe,Zn",10.1111/j.1365-313X.2012.05088.x,"A.thaliana, T.aestivum","Shoots,seeds",NA
O.sativa,LOC_Os04g45860,YSL9,Fe,10.1007/s11103-017-0656-y,NA,"Shoots,seeds",NA
O.sativa,LOC_Os04g45900,YSL16,Cu,10.1105/tpc.112.103820,NA,"Roots,shoots,seeds",NA
O.sativa,LOC_Os04g46940,HMA5,Cu,10.1104/pp.113.226225,NA,"Roots,shoots",NA
O.sativa,LOC_Os04g49410,EXPA10,Al,10.1111/tpj.13237,,Roots,NA
O.sativa,LOC_Os04g52310,ZIP3,Zn,10.1111/tpj.13005,NA,Shoots,NA
O.sativa,LOC_Os04g52900,ABCC1,As,10.1073/pnas.1414968111,A.thaliana,Seeds,NA
O.sativa,LOC_Os04g56430,RMC,"Fe,Mn,Cu",10.1093/jxb/ert290,,"Root,shoot,seeds",NA
O.sativa,LOC_Os05g34290,PCS1,As,10.1111/tpj.13612,Arabidopsis thaliana,Seeds,*Nomenclature used from Hayashi et al (2017 - 10.1111/tpj.13612)
O.sativa,LOC_Os05g37470,AUX3,Al,10.1111/pce.13478,,Roots,NA
O.sativa,LOC_Os05g39560,ZIP5,Zn,10.1007/s11103-010-9637-0),NA,Leaf,NA
O.sativa,LOC_Os05g47780,HRZ2,Fe,10.1038/ncomms3792,NA,"Shoots, seeds",NA
O.sativa,LOC_Os05g48390,PHO2,P,10.1111/j.1365-313X.2008.03734.x,,Leaf,LTN1
O.sativa,LOC_Os06g01260,PCS2,"As, Cd",10.1093/pcp/pcx114,Arabidopsis thaliana,Seeds,*Nomenclature used from Hayashi et al (2017 - 10.1111/tpj.13612)
O.sativa,LOC_Os06g05160,SPDT,P,10.1038/nature20610,NA,Seed,SULTR3;4
